﻿Раздел;Название зала;Комплекс;Город;Страна;Регион;Вместимость;Архитектор;Акустический консультант;Открытие/сдача;Комментарий;Источник;Доп. источники;ФОТО;Статус
Концертные залы;Nakdong Art Center (낙동아트센터) — Concert Hall;Nakdong Art Center;Пусан (Канседжу);Республика Корея;Азия;987;н/д (застройщик — Korea Land and Housing Corporation, LH);н/д;"строительство завершено, разрешение на ввод получено 13 июня 2025; право собственности передано городу 26 августа 2025; торжественное открытие — 10 января 2026";Первый специализированный классический зал западного Пусана, шубоксовая форма зала на два яруса для лучшей акустики.;https://www.asiae.co.kr/en/article/2025090309483913830;https://www.busan.com/view/busan/view.php?code=2025090215244648777 — статьи упоминают лишь общие характеристики («передовая акустическая система», реверберация >2с), но не называют конкретного акустического консультанта;;не проверен
Концертные залы;Jilin Provincial Concert Hall (吉林省音乐厅);н/д;Чанчунь / провинция Цзилинь;Китай;Азия;799;华东建筑设计研究院有限公司 (East China Architectural Design & Research Institute, ECADI);ECADI Acoustics — East China Architectural Design Institute, рук. Ян Чжиган;31 декабря 2025;"Зал в здании-памятнике архитектуры с ограниченным объёмом помещения; замерённое время реверберации 1,7 с — предельно достижимый показатель для охраняемого исторического здания, акустика признана соответствующей мировому топ-уровню.";https://news.cnjiwang.com/jwyc/202512/4004685.html;"http://jlrbszb.dajilin.com/pc/paper/c/202512/28/content_1038918.html; https://news.cnjiwang.com/jwyc/202512/4001283.html";;не проверен
Концертные залы;Fukuoka Civic Hall — Middle Hall;Fukuoka Civic Hall;Фукуока;Япония;Азия;799;Azusa Sekkei / Shun Sekkei / Toda Yoshiki Landscape Design;Yamaha Corporation, Space Acoustics Group;28 марта 2025;Средний зал комплекса с близким контактом сцены и зрителей, используется для драмы и камерных представлений.;https://member.jp.yamaha.com/topics/myujin/2025/wm-96196;;;не проверен
Концертные залы;Спалдинг-аудиториум (Spaulding Auditorium);Hopkins Center for the Arts, Dartmouth College;Ганновер, Нью-Гэмпшир;США;Северная Америка;792;Snøhetta;Arup;октябрь 2025 (торжественное открытие 16–19 октября после реконструкции);Реконструкция и расширение исторического Hopkins Center ($123.8 млн), концертный зал и кинотеатр с обновлённой акустикой.;https://hop.dartmouth.edu/venue-information;;;не проверен
Концертные залы;Jiangyin Concert Hall (江阴音乐厅);"Культурно-художественный комплекс ""Folk Music Island""";Цзянъинь;Китай;Азия;750;"Cheng Taining, CCTN Architectural Design; Beijing Institute of Architecture and Design (BIAD)";Nagata Acoustics;1 января 2025 (открытие первым концертом);"Интерьер выполнен из стеклофиброгипсовых (GRG) панелей органичной текучей формы; четыре подвесных отражателя направляют звук к публике, сохраняя акустический объём зала.";https://www.nagata-i.com/portfolio/jiangyin-concert-hall/;;;не проверен
Концертные залы;Teatro Baccarelli;Instituto Baccarelli;Сан-Паулу (Элиополис);Бразилия;Латинская Америка;533;Frank Siciliano;José Augusto Nepomuceno;25 ноября 2025;"Первая в мире концертная сцена, построенная на территории фавелы; акустик — автор Sala São Paulo и Teatro Cultura Artística, зал имеет мобильный оркестровый подъём/яму.";https://g1.globo.com/sp/sao-paulo/noticia/2025/11/25/teatro-do-instituto-baccarelli-e-inaugurado-em-heliopolis-na-zona-sul-de-sp-e-se-torna-a-primeira-sala-de-concertos-em-uma-favela-no-mundo.ghtml;;;не проверен
Концертные залы;Концертный зал Агдамского центра мугама;Агдамский центр мугама;Агдам;Азербайджан;Россия и СНГ;507;н/д;н/д;10 мая 2025;Центр на освобождённой территории Карабаха создан для возрождения искусства мугама, включает также кинозал, библиотеку и открытый амфитеатр на 615 мест.;https://1news.az/news/20250510125638520-Ilkham-Aliev-i-Mekhriban-Alieva-prinyali-uchastie-v-otkrytii-Agdamskogo-tsentra-mugama-FOTO;"https://1news.az/news/20250510125638520-Ilkham-Aliev-i-Mekhriban-Alieva-prinyali-uchastie-v-otkrytii-Agdamskogo-tsentra-mugama-FOTO; https://ru.wikipedia.org/wiki/Агдамский_центр_мугама — в официальных сообщениях президента и министерства культуры АР архитектор проекта и акустический консультант не называются";;не проверен
Концертные залы;Concert Hall, Stephen A. Schwarzman Centre;Stephen A. Schwarzman Centre, University of Oxford;Оксфорд;Великобритания;Европа;500;Hopkins Architects;Arup (Ian Knowles);13 октября 2025;Концертный зал на 500 мест в составе нового центра искусств и гуманитарных наук стоимостью £185 млн, публичная культурная программа стартовала в 2025 году.;https://www.bbc.co.uk/news/articles/c1jz7nld658o;https://www.arup.com/news/arup-delivers-facade-and-acoustic-engineering-for-oxford-universitys-new-cultural-campus/;;не проверен
Концертные залы;Sohmen Concert Hall;Stephen A. Schwarzman Centre for the Humanities;Оксфорд;Великобритания;Европа;500 (460 без хоровых мест);Hopkins Architects;Arup (Ian Knowles);"13 октября 2025 (для университета); публичный запуск апрель 2026";"Первый в мире концертный зал по стандарту Passivhaus; акустический баннерная система позволяет менять реверберацию для неусиленного и усиленного звука.";https://www.arup.com/news/arup-delivers-facade-and-acoustic-engineering-for-oxford-universitys-new-cultural-campus/;;;не проверен
Концертные залы;Antaishan Public Cultural Centre — Concert Hall (安托山公共文化中心・音乐厅);Antaishan Public Cultural Centre / 安托山公共文化中心;Шэньчжэнь;Китай;Азия;500;HHD深圳华汇设计 (Shenzhen Huahui Design);н/д;26 декабря 2025;"Профессиональный концертный зал; открылся выступлением пианиста Ланг Ланга и Шэньчжэньского симфонического оркестра под управлением Линь Дае.";https://www.szft.gov.cn/ftxx/xwdt/bmgzdt/content/post_12575480.html;"https://www.gooood.cn/antuoshan-public-cultural-center-by-hhd-shenzhen-huahui-design.htm; https://www.szft.gov.cn/ftxx/xwdt/bmgzdt/content/post_12575480.html";;не проверен
Концертные залы;Камерный зал Концертного центра «Сириус»;Концертно-театральный центр «Сириус»;Сириус (федеральная территория, Сочи);Россия;Россия и СНГ;500;Андрей Литвинов (Архитектурная ассоциация Андрея Литвинова / Lifequality);Ясухиса Тойота (Nagata Acoustics);17 сентября 2025 (первый концерт), официальное открытие комплекса 3 октября 2025;"Волнообразные линии и эффект ряби на воде в отделке зала; вмещает оперные, балетные и симфонические программы.";https://sochi-fornia.ru/news/otkrytie-novogo-koncertnogo-zala-v-siriuse-17-sentyabrya/;;;не проверен
Концертные залы;Klingenstein Concert Hall;Alice Dodge Wallace '38 Center for the Performing Arts, Emma Willard School;Трой;США;Северная Америка;485;Annum Architects;Acentech;2025 (торжественное открытие 24–25 апреля 2025);Часовня 1910 года превращена в 485-местный многофункциональный театр с обновлённой акустикой, выдвижной сценой и подземным крылом с танцстудиями.;https://www.emmawillard.org/arts/arts-facilities;;;не проверен
Концертные залы;Sala Symfoniczna;Kampus Akademii Muzycznej im. Feliksa Nowowiejskiego;Быдгощ;Польша;Европа;423 (399 партер + балкон);plus3-architekci (Katarzyna Głażewska, Krzysztof Bagiński);ewkAkustika (Ewa Więckowska-Kosmala);30 сентября 2025;"Одна из четырёх новых залов кампуса, построена по технологии «коробка в коробке»; вмещает полный симфонический оркестр и хор.";https://archinea.pl/nowa-siedziba-akademii-muzycznej-w-bydgoszczy/;;;не проверен
Театральные залы;Earth Valley Theater /飞鸟剧场 (открытый амфитеатр);Яоху Тайм-таун;Уси (Исин);Китай;Азия;н/д (открытая арена, площадь 9200 м²);GOA (Group of Architects);EZPro (易科);2025;Открытый ландшафтный театр для совместных выступлений людей и вольных птиц, встроен в рельеф долины без ограждающей крыши.;https://www.archdaily.com/1042338/the-earth-valley-theater-goa-group-of-architects;;;не проверен
Театральные залы;Wole Soyinka Centre for Culture and Creative Arts (бывший National Theatre);н/д;Лагос (Иганму);Нигерия;Африка;5000 (главный зал, коллапсирующая сцена);н/д (реконструкция под руководством CBN и Bankers' Committee);н/д;1 октября 2025;Полная реконструкция (тип: реконструкция) знаменитого театра 1976 года в форме военной фуражки, переименован в честь нобелевского лауреата Воле Шойинки, стоимость реставрации ~68 млрд найр.;https://guardian.ng/features/national-theatre-returns-as-wole-soyinka-centre-for-culture-creative-arts/;"https://guardian.ng/features/national-theatre-returns-as-wole-soyinka-centre-for-culture-creative-arts/; https://guardian.ng/art/four-years-after-bankers-committee-completes-restoration-of-national-theatre-set-for-unveiling/ — упомянут архитектор реставрации Ade Laoye (ECAD Architects) и общая AVL/сценическая инженерия, но именованный акустический консультант не найден";;не проверен
Театральные залы;Dongan Lake Grand Theatre — main hall (东安湖大剧院大剧场);Dongan Lake Sports Park / Университиада-2025;Чэнду;Китай;Азия;2045;н/д (генподрядчик — China Construction Eighth Engineering Division /航天建筑七院);Проектная команда China Construction Eighth Engineering Division (中建八局): система изоляции «дом в доме», собственная 3D-акустическая моделирующая система, фоновый шум ниже NR15;13 июня 2025 (открытие премьерой «Мой сад Дагуаньюань»);"Театр в форме паруса на берегу Восточного озера построен к Универсиаде-2025; зрительный зал подковообразный, с потолком «звёздное небо» из десятков тысяч светодиодов; фоновый шум удержан ниже NR15.";https://news.qq.com/rain/a/20250615A069NL00;https://m.thepaper.cn/newsDetail_forward_32463125;;не проверен
Театральные залы;Thebarton Theatre Complex Redevelopment;"Thebarton Theatre (""Thebby"")";Аделаида;Австралия;Океания;2000;JPE Design Studio (рук. Charles Tindley);Resonate Consultants;2025;Реконструкция исторического наследного зала 1928 года (бывшая ратуша Thebarton) под современный концертно-театральный комплекс.;https://www.archdaily.com/1035787/thebarton-theatre-complex-redevelopment-jpe-design-studio;https://architectureau.com/articles/historic-adelaide-theatre-set-for-transformation/;;не проверен
Театральные залы;West Bund Grand Theatre — main auditorium (西岸大剧院大剧场);West Bund Grand Theatre;Шанхай;Китай;Азия;1600 (основной зал) + 200 (блэкбокс);"Schmidt Hammer Lassen / Perkins&Will; локальный архитектор Arcplus Institute of Shanghai";"East China Architectural Design & Research Institute (ECADI); театральный консультант Theatre Projects";2025 (полностью открыт для публики 27 апреля 2025);Скульптурный монолитный объём из шести вогнутых поверхностей со стеклофибробетонным фасадом образует инь-ян пару с соседним West Bund Dome, первое здание на набережной, спроектированное специально для исполнительских искусств.;https://www.dezeen.com/2025/07/17/schmidt-hammer-lassen-west-bund-grand-theatre-shanghai/;https://www.shanghai.gov.cn/nw4411/20250222/35ca6f024a5d4184bc4139427675e559.html;;не проверен
Театральные залы;Xi'an Grand Theatre Opera Hall (西安大剧院歌剧厅);Xi'an Grand Theater / 西安大剧院;Сиань;Китай;Азия;1600;Wang Shu, Amateur Architecture Studio;Marshall Day Acoustics (MDA);"27 сентября 2025 (открытие для публики); официальная открытие-неделя 27 октября — 2 ноября 2025";"Сцена «品»-образной формы с 6 подъёмными платформами; впервые в Китае в оперном зале такого масштаба внедрена иммерсивная звуковая система L-Acoustics L-ISA.";https://news.hsw.cn/system/2025/0928/1876067.shtml;;;не проверен
Театральные залы;Qionghai Grand Theatre (琼海大剧院);Qionghai Culture and Sports Centre / 琼海市文体中心;Цюнхай, Хайнань;Китай;Азия;1500;中国中元国际工程有限公司海南分公司 (中元海南);н/д;сентябрь 2025 (сдача, приёмка объекта);"Фасад с элементами «кокосового листа» и лиловым градиентным витражом; три подъёмные площадки сцены; в ноябре 2025 здесь выступил Центральный балет с «Красным женским отрядом».";https://www.hi.chinanews.com.cn/hnnew/2025-09-16/728745.html;http://www.archina.com/index.php?a=show&g=works&id=159527&m=index;;не проверен
Театральные залы;Lansdowne Theater;н/д;Лансдаун, Пенсильвания;США;Северная Америка;"1280 (после реконструкции; исторически зал был на 1400 мест)";Atkin Olshin Schade Architects (AOS);Acentech;22 августа 2025;Кинотеатр 1927 года, закрытый после пожара 1987 года, вновь открыт как концертный зал после почти 40-летнего простоя и 18-летней реставрации ($18 млн).;https://whyy.org/articles/lansdowne-theater-returns/;"https://www.inquirer.com/entertainment/music/landsdowne-theater-delco-renovation-opening-20250806.html (1,280-capacity auditorium); https://www.aosarchitects.com/case-study/lansdowne-theater; https://www.lansdownetheater.org/post/lansdowne-theater-executive-director-update (Accentech/Acentech — acousticians)";;не проверен
Театральные залы;Pyeongtaek Art Center (평택아트센터) — Large Theatre;Pyeongtaek Art Center;Пхёнтхэк;Республика Корея;Азия;1318;"Nowdongin Architects (기본설계); Heerim Architects & Planners (실시설계)";"н/д (акустическая отделка — шубокс-модификация, панели из берёзы, диффузный потолок; консультант не назван)";"18 декабря 2025 (準공식/торжественная сдача); официальное открытие — 30 января 2026";Крупнейший культурный объект Пхёнтхэка на 1301 млн вон, кровля и деревянная фактура фасада перекликаются с окружающим парком Хамаксан.;https://www.asiae.co.kr/en/article/2025121908404656433;;;не проверен
Театральные залы;Большой театр Культурного центра Эчжоу (鄂州文化中心大剧院);Эчжоу вэньхуа чжунсинь (鄂州文化中心);Эчжоу, провинция Хубэй;Китай;Азия;1200 (основной зал) + 200+ (блэкбокс);CITIC General Institute of Architectural Design and Research (中信设计);胡小明, 陈頔, 饶紫云 (внутренняя команда акустического проектирования CITIC Design);март 2025 (пробная эксплуатация с 7.03.2025);"Театр и художественная галерея образуют пару объёмов «выступ-впадина» в духе пейзажей region Цзинчу; кровля театра — волнообразная сетчатая оболочка.";https://www.ezhou.gov.cn/gk/zdlyxxgk/zdjsxm/jgygxx/202504/t20250428_700557.html;https://www.gooood.cn/ezhou-cultural-center.htm;;не проверен
Театральные залы;East Kowloon Cultural Centre — Theatre (东九文化中心・劇院);East Kowloon Cultural Centre / 东九文化中心;Гонконг;Китай (Гонконг);Азия;1200;Rocco Design Architects Associates (Rocco Yim);Theatreplan;3 ноября 2025;"Первая в Гонконге площадка, задуманная как центр слияния искусства и технологий; архитектура отсылает к истории района бывшего посёлка Нгау Тау Кок; всего 5 залов вместимостью от 120 до 1200 мест.";https://hkcd.com/hkcdweb/content/2025/11/03/content_8722657.html;https://www.thestandard.com.hk/news/article/311347/New-curtain-rises-East-Kowloon-Cultural-Centre-prepares-to-spotlight-citys-talents-this-Nov;;не проверен
Театральные залы;Antaishan Public Cultural Centre — Grand Theatre (安托山公共文化中心・大剧场);Antaishan Public Cultural Centre / 安托山公共文化中心;Шэньчжэнь;Китай;Азия;1000;"н/д (застройщик — China Resources; генподрядчик — China Construction Fourth Engineering Division)";н/д;26 декабря 2025;Первый крупный многозальный культурный комплекс района Футянь на месте бывшего карьера, концепция «вертикального культурного посёлка» с театром и концертным залом, наложенными друг на друга по высоте.;https://www.szft.gov.cn/ftxx/xwdt/bmgzdt/content/post_12575480.html;;;не проверен
Театральные залы;Большой зал (Большая сцена);Московский государственный академический детский музыкальный театр имени Н. И. Сац;Москва;Россия;Россия и СНГ;более 1000;ППК «Единый заказчик в сфере строительства» (реконструкция);н/д;"28 августа 2025 (сбор труппы в обновлённом зале); официальное открытие приурочено к декабрю 2025";Оркестровую яму увеличили вдвое, верхнюю точку колосников подняли до 27 м, сохранили исторический изогнутый балкон-волну.;https://www.interfax-russia.ru/realty/news/zavershena-rekonstrukciya-v-bolshom-zale-teatra-natalii-sac;"https://iz.ru/1950815/2025-09-08/hudruk-teatra-im-ni-sac-rasskazal-o-rekonstrukcii-bolsoi-sceny; https://muzobozrenie.ru/teatr-im-sac-rekonstrukcija-itogi-i-plany/ — подробно описана реконструкция сцены, оркестровой ямы и оборудования, но акустический консультант в открытых источниках не назван";;не проверен
Театральные залы;Plaza Theatre;н/д;Палм-Спрингс, Калифорния;США;Северная Америка;800;"н/д (историческое здание 1936 года, Spanish Colonial Revival; реставрация 2025 года)";McKay Conant Hoover (Tony Hoover);дек.25;Историческая киноплощадка 1936 года (место премьеры фильма «Камилла» с Гретой Гарбо) реставрирована за $34 млн и вновь открыта как театрально-концертная площадка.;https://www.latimes.com/entertainment-arts/story/2025-12-09/palm-springs-plaza-theatre-reopens-renovation-cynthia-erivo;https://californiapreservation.org/awards/plaza-theater/ (Acoustic Consultant: Tony Hoover – McKay Conant Hoover);;не проверен
Театральные залы;Proscenium Theater (The Proscenium by Rockwell);Rockwell Center;Манила (Макати);Филиппины;Азия;780;Carlos Ott Architects;Müller-BBM Acoustic Solutions (электронная система Vivace);26 сентября 2025;Новый гибкий театральный комплекс с концертным залом и блэкбокс-театром, первый в стране объект с системой электронной акустики Vivace.;https://www.mbbm-aso.com/de/vivace-proscenium-manila/;"https://www.rappler.com/entertainment/rockwell-proscenium-theater-open-the-bodyguard-musical/; https://theaterfansmanila.com/a-first-look-inside-the-proscenium-theater-at-rockwell/";;не проверен
Театральные залы;The Proscenium Theater at Rockwell;The Proscenium (жилой комплекс Rockwell Center);Макати, Манила;Филиппины;Азия;780;Carlos Ott Architects;Müller-BBM Acoustic Solutions (электронная система изменяемой акустики Vivace);26.09.2025;"Новый частный театр со сценой 16×16 м, автоматической колосниковой системой и оркестровой ямой; открыт мюзиклом «The Bodyguard».";https://www.mbbm-aso.com/vivace-premiere-at-the-proscenium-theater-manila/;;;не проверен
Театральные залы;Associated Bank Theater Center (Ellen & Joe Checota Powerhouse Theater);Milwaukee Repertory Theater;Милуоки, Висконсин;США;Северная Америка;"568–671 (основной зал, в зависимости от конфигурации сцены); 186 (Stackner Cabaret)";Eppstein Uhen Architects;н/д (театральный консультант Fisher Dachs Associates);11 октября 2025 (ribbon-cutting);Реконструкция комплекса 1980-х годов и электростанции 1898 года в современный театральный центр с новой колосниковой сценой и расширенным фойе.;https://urbanmilwaukee.com/2025/10/13/see-inside-milwaukee-reps-new-theater-center/;;;не проверен
Театральные залы;Hengchun Cultural Center — Theatre Hall (恆春文化中心劇場館);Hengchun Cultural Center (恆春文化中心);Хэнчунь, уезд Пиндун;Тайвань;Азия;670;Wang Ming-Hsien (王銘顯) совместно с японским архитектором Norihiko Dan (團紀彥);н/д;6 декабря 2025;Здание в форме корабля у древней крепостной стены, круговой зал по мотивам лондонского Shakespeare's Globe с деревянным световым фонарём, для народной музыки региона.;https://www.mottimes.com/article/detail/6600;"https://www.mottimes.com/article/detail/6600; https://www.cultural.pthg.gov.tw/cp.aspx?n=258BE29D0243BCF6 — акустический консультант не назван, найдены только архитекторы (Norihiko Dan, Wang Ming-Hsien)";;не проверен
Театральные залы;Citizens Theatre (главный зал);Citizens Theatre, Glasgow;Глазго;Великобритания;Европа;650;Bennetts Associates;"Sandy Brown (акустика зала); Theatreplan (сценическое/техническое проектирование, новая колосниковая башня)";сентябрь 2025 (реставрация завершена, повторное открытие);Викторианский театр 1878 года реконструирован с сохранением исторической машинерии сцены и двух последних в Великобритании рабочих малярных рам, добавлена новая колосниковая башня.;https://theatreplan.com/projects/citizens-theatre;;;не проверен
